Transcrição


0:15 Inicialmente, eu gostaria de entender quando
0:25 e por que sua organização decidiu implementar as  metodologias ágeis nos processos de de auditoria
0:31 você puder contar um pouco como foi o início  aí da da implantação da auditoria ágil tá bom?
0:37 ah não lembro exatamente a data aqui mas acho  que faz mais de 5 anos eh o objetivo era a
0:47 gente primeiro acompanhar ali a evolução  da organização que tava mudando um modelo
0:52 projetizado para um modelo ágil e acho que a  gente entendia que que traria alguns benefícios
1:00 e ah começamos a pilotar com algumas gerências  acho que o resultado foi positivo né tá cada
1:07 vez mais a gente ter a consegui compartilhar as  informações entre o time E aí aos poucos a gente
1:13 foi expandindo para toda a auditoria eh e hoje em  dia a gente tem até um um AJ Coach aqui dedicado a
1:20 dentro da auditoria tá Ah esse início aí foi foi  Teve alguma pressão externa interna assim de de
1:30 algum contexto específico como vocês eh como é que  você viu isso aí acontecendo dentro da auditoria
1:36 tá bom ah acho pressão acho que não teve acho que  foi mais eh realmente acompanhar o o movimento do
1:46 do banco da área de tecnologia que tava mudando  área de RH mudando área de marke diversas áreas
1:52 a gente escutando eh e acompanhando que era um  movimento bastante Positivo né observando aqui
1:59  os ganhos que a gente tinha teria com Agio e a  partir daí a gente o time começou a experimentar
2:06  mas não é algo que teve uma pressão externa  foi o próprio surgiu ali do do próprio time
2:12  né Eh a auditoria é uma área que se até hoje  não tivesse utilizando práticas ens estaria
2:18  funcionando também né talvez de uma forma não  tão colaborativa mas eh continuaria fazendo ali
2:26  suas auditorias suas avaliações né E como é que  você vê essas como é que elas foram adaptadas
2:32  especificamente para o contexto aí da auditoria  né na na na sua empresa Tá bom então o contexto
2:39  da auditoria os proj a a gente tem mini projetos  né Cada auditoria a gente pode considerar que é
2:47  um projeto porque ele tem início meio e fim  ele dura ali aproximadamente eh 3S meses né
2:55  o acho que a grande adaptação é que a gente não  consegue o time não consegue você não consegue
3:00  pegar um time eh e falar que todos vão fazer  participar de um projeto de uma auditoria Então
3:09  o que a gente tem aqui são a gente faz auditoria  por portfólio Então você tem diversos eh quando
3:16  a gente faz uma release planing por exemplo  a gente fala de diversos trabalhos Então você tem algumas eh alguns tempos algumas cerimônias  ali do do ágil né Eh por exemplo release Plan
3:30  ah você tem as dailies mas quando você faz esses  essas reuniões você não Fala especificamente de
3:35  um projeto só você fala sobre um portfólio de  projetos acho que essa é a grande diferença
3:41  ah eh só para entender um pouco melhor então  vocês vocês quebraram o o planejamento do da
3:52  auditoria né Eh provavelmente acho que era anual  se eu se eu não me engano de conversas anteriores
3:59  que a gente já teve para um um planejamento um  pouco mais reduzido né quantas semanas como é
4:06  que é esse esse planejamento Tá bom então hoje  ele tá a gente já desde que a gente conversou no
4:15  passado para isso já teve outras evoluções tá  então o que a gente tem o ano passado não era
4:20  assim mas esse ano já tem eh a gente já quebra  em ciclos trimestrais um grupo de trabalhos eh
4:30  onde a gente olha a diretoria como um todo e  fala Olha a gente tem então quatro releases
4:35  planning num ano são nessas reles que a gente  determina os trabalhos que vão ser trabalhados
4:42  as auditorias que vão ser feitas nos próximos  3S meses né Eh você vai começar a conversar com
4:48  as pessoas você vai observ observar que a gente  tem dois modelos eu tô trabalhando nesse modelo
4:54  intermediário em que eu sei tudo que eu vou  fazer no ano mas eu priorizo a cada três meses
5:01  talvez você hora você vai conversar com algumas  pessoas que você vai observar que eh elas só
5:07  sabem o que elas vão fazer nos próximos 3S meses  elas não sabem ainda os trabalhos do ano todo eh
5:15  isso é estratégico eh por conta do do do cargo  que que tem eh do cargo do do do do papel que
5:23  ele exerce ali no no time da auditoria não a  gente tá fazendo uma migração por equipes né
5:30  então tem equipes que trabalharam no modelo  que eu tô trabalhando esse esse o modelo que eu tô trabalhando esse ano teve tiveram três  equipes que já trabalharam ano passado e hoje
5:40  elas estão no modelo a gente chama de modelo  full estas equipes são quando eu falo equipes
5:46  são gerências tá equipes de aproximadamente  10 pessoas né Entendi então ão dentro são
5:57  unidades da auditoria que vocês quebraram para e e  o time é formado por em média 10 pessoas é isso aí
6:05  ah como você no passado olha n ainda um  pouco pro passado né que queria entender
6:14  um pouco como você descreveria o processo Geral  de transição para auditoria ágil eh Quais foram
6:20  os principais desafios que vocês identificaram  naquela época ou ainda tá identificando porque você estão em processo de de melhorias  né de de transição eh pelo que entendi
6:29  nessa última essa última Ah fala sua Tá bom então  no passado tudo era eh muito novo né então exigia
6:40  muito treinamento muita adaptação muitos testes  acho que hoje como a gente já tem times eh hoje a
6:47  gente tem aqui uma jao Coach e ela estruturou ali  um time de participantes que a gente chama de aio
6:54  Coach ajio Champions e essas pessoas elas estão  eh dispersas pela auditoria eí elas apoiam ali a
7:02  ja Coach que é a Andressa Então acho que hoje a  resistência é baixíssimas né porque ela tem ali
7:09  uma o apoio de um tem o apoio de um diretor  mas no passado não no passado era tudo mais
7:15  ali eh eh a tentativa e erro ali por parte de  um eh da gerência média né você não vinha top
7:25  Down hoje em dia você tem um um patrocinador  que fica mais simples né então a a principal
7:32  o obstáculo que vocês identificaram aí foi foi a  resistência do do das pessoas dos os mais seniors
7:40  o o pessoal que tava entrando como é que como é  que era isso você ah er os era os mais sors né e
7:47  a falta de um de um patrocinador e de um diretor  com patrocinador né a falta de um a a falta de
7:56  um patrocinador tem um Quando você vem em top é  muito mais simples né é o patrocinador você fala
8:02  que abraçava essa mudança né que ele realmente  entendia isso como necessário pra organização
8:08  e e e e patrocinava isso né Essa patrocinava  e hoje tem um diretor que patrocine e está na
8:16  meta dele naquela época não né naquela época você  tinha que ficar conquistando ali mas não tava na
8:23  meta do quase basicamente não estava na meta de  ninguém né Ok essa transição Você se lembra mais
8:30  ou menos quando aconteceu essa esse Patrocínio  cara Acho que foi na pandemia a que acho que
8:41  acho que a grande mudança foi a contratação  de ma Coach né ah ok então foi em 2000 e
8:47  2020 o Roberto Deixa eu só dar uma pausa aqui  rapidinho cara tá ligando aqui rapidão ok
10:38  pronto Obrigado Roberto Ah imagina  Hã tá tá me ouvindo aí no áudio né
10:45  tô sim tá eh a gente parte pra próxima  questão eh algum contexto importante da
10:53  auditoria que levou a adoção de ágil  você consegue identificar esse esse
11:00  algo do contexto aí de vocês que que exigiu o ágil  Qual foi algum problema que vocês identificaram
11:08  que você você entende que o ágil foi foi relevante  Ah acho que mais eficiência tentar fazer as coisas
11:19  mais rápido de forma mais colaborativa n acho  um pouco do que o ágil prega né era não é que
11:25  exigiu né foi uma acho que foi uma tentativa né  Tá então colaboração é o que você vê como ponto
11:34  importante aí né de vocês eram vocês trabalhavam  antes mais de individual perfil mais o auditor e
11:42  suas atividades ali e a gerência né Sem tantas  trocas com com com os outros com com as outras
11:51  equipes é só auditoria mesm Ok e em que parte da  Oria o ágil não ele não pode ser usado assim vocês
12:03  não não conseguiram implantar por alguma regulação  do Banco Central alguma Norma né Existe alguma
12:13  parte que não não pode ser usado não é usado em  na auditoria agora tá na é utilizado por todos os
12:21  times Acho que até os times mais administrativos  aqui da própria auditoria usam também ótimo Ok
12:29  eh mudando agora um pouco o contexto né Eh  de dinâmicas do time depois da implantação
12:38  eh vou trabalhar agora com algumas questões  mais específicas de dinâmicas de times né Eh
12:46  como a equipe no caso aí da sua equipe específica  você pode desse contexto ela lida com situações
12:52  complexas ou inesperadas que surgem durante  o processo de auditoria ágil por exemplo você
12:59  consegue descrever um um exemplo específico eh  se essa que a sua equipe encontrou uma solução
13:06  em conjunto em colaboração enfim se você puder  esclarecer esse ponto é é interessante para pra
13:12  pesquisa tá bom eh hoje em dia o negócio tá tão eh  no DNA da do time que a gente não sabe não talvez
13:20  tem até dificuldade de trabalhar Sem o sem esse  modelo mais colaborativo né então aente tem toda
13:27  a cada três semanas já tá reservado na agenda de  todos aqui cada uma sexta a cada três semanas eh
13:35  das 9:30 até às 11 a gente se reúne ali para  release planning para para realmente debater
13:41  o que que foi feito nas na release anterior e o  que que vai ser feito na próxima e e e e debater
13:48  ali os eh os pontos de de melhoria que que teve de  de problema eh os impedimentos a gente vê no dia
13:56  a dia e cara é direto a gente tem ali interação  entre entre o time que fala pô preciso fazer um
14:03  teste xpto ah mas eu tenho o arquivo para fazer  esse teste você olha lá na no relatório tal Olha
14:09  eu já fiz um teste assim ah precisa falar  com tal pessoa olha procura tal pessoa que
14:15  que ajuda a resolver então essa interação dentro  do time isso hoje é é flui flui muito bem então
14:24  Ahã bem legal isso né vocês vocês têm um  conhecimento eh de quem fez né como como
14:34  é que lidou com com algum tipo de problema isso  ajuda bastante né Vocês tem vocês documentam esse
14:40  processo essas trocas que vocês têm nessa reunião  a cada três semanas a gente documenta sim eh tem
14:50  assim documenta não documenta no sentido de a  gente estamos aqui conversando e eu falo ó Roberto
14:56  procura tal pessoa is aente não comenta é conversa  do dia a dia agora a gente chegou ali na release
15:03  planning e a gente vai passar todos os trabalhos  e olhar o que aconteceu na semana se atingiu
15:09  100% ou se teve algum impedimento isso tem ali uma  planilha Excel que a gente Anota um por um eh qual
